date,cases,deaths,new_cases,new_deaths,cases_7day_avg,deaths_7day_avg,fatality_rate
2021-10-29,45982991,744224,94717.0,1734.0,74231.14285714286,1309.2857142857142,1.618476710225309
2021-10-30,46019330,744626,36339.0,402.0,74577.85714285714,1266.2857142857142,1.6180722318208458
2021-10-31,46053361,744886,34031.0,260.0,72327.57142857143,1256.5714285714287,1.6174411244382358
2021-11-01,46163201,746135,109840.0,1249.0,73281.0,1162.4285714285713,1.6162982285392213
2021-11-02,46233294,747442,70093.0,1307.0,73620.0,1217.2857142857142,1.616674771215739
2021-11-03,46320009,749426,86715.0,1984.0,73756.42857142857,1232.7142857142858,1.6179314645642664
2021-11-04,46401241,750627,81232.0,1201.0,74465.14285714286,1229.142857142857,1.6176873372847937
2021-11-05,46498331,752745,97090.0,2118.0,74106.57142857143,1222.142857142857,1.6188645566654856
2021-11-06,46535625,753255,37294.0,510.0,75521.57142857143,1242.2857142857142,1.6186631209960112
2021-11-07,46574617,753490,38992.0,235.0,76724.28571428571,1200.142857142857,1.6178125522749869
2021-11-08,46681947,754690,107330.0,1200.0,73359.14285714286,1157.5714285714287,1.6166635037737391
2021-11-09,46761945,756138,79998.0,1448.0,80077.85714285714,1204.7142857142858,1.6169943316087472
2021-11-10,46857079,757827,95134.0,1689.0,81349.14285714286,1217.7142857142858,1.617315923598225
2021-11-11,46914755,758730,57676.0,903.0,80622.0,1217.142857142857,1.6172523974600315
2021-11-12,47058876,761178,144121.0,2448.0,84011.57142857143,1228.142857142857,1.6175014464858872
2021-11-13,47105069,761779,46193.0,601.0,85152.0,1209.7142857142858,1.6171911349922872
2021-11-14,47138971,762010,33902.0,231.0,87619.42857142857,1205.4285714285713,1.6165181034605105
2021-11-15,47270028,763287,131057.0,1277.0,94891.85714285714,1267.142857142857,1.6147377784502264
2021-11-16,47358009,764606,87981.0,1319.0,92341.85714285714,1169.0,1.6145231105471516
2021-11-17,47470415,766265,112406.0,1659.0,92493.71428571429,1151.0,1.6141948622104947
2021-11-18,47578998,767600,108583.0,1335.0,93583.28571428571,1153.7142857142858,1.6133168672446612
